"California,Madera County",889
"Washington,Benton County",1932
"Mississippi,Pontotoc County",738
"Wisconsin,Ashland County",180
"Georgia,Twiggs County",140
"New York,Tompkins County",1832
"Arkansas,Poinsett County",1573
"Florida,Manatee County",4939
"New York,Cattaraugus County",19673
"North Carolina,Greene County",35
"Georgia,Calhoun County",310
"New York,Jefferson County",696
"Georgia,Fayette County",927
"Alabama,Geneva County",2902
"Louisiana,Calcasieu Parish",6124
"Oklahoma,Kay County",950
"North Carolina,Wilson County",3083
"Michigan,Jackson County",2237
"Mississippi,Lowndes County",1816
"California,Placer County",3702
"Washington,Chelan County",286
"Nebraska,Douglas County",18569
"Virginia,Danville City",5095
"Indiana,Warrick County",2028
"South Carolina,Dorchester County",3999
"Wisconsin,Richland County",20081
"California,Sutter County",4527
"Alabama,Autauga County",2236
"Ohio,Belmont County",537
"Ohio,Miami County",1422
"Vermont,Orleans County",1247
"Georgia,Thomas County",695
"Georgia,Gwinnett County",17062
"Kentucky,Bullitt County",1015
"California,San Mateo County",86094
"Virginia,Hanover County",2021
"Indiana,Hamilton County",5869
"Texas,Randall County",409
"Arkansas,St Francis County",7355
"Texas,Collin County",23700
"Ohio,Ashland County",6016
"Florida,Brevard County",6024
"Maine,Knox County",222
"California,Calaveras County",5454
"Ohio,Clark County",1666
"Virginia,Waynesboro City",662
"Kansas,Johnson County",6755
"Colorado,Mesa County",2034
"Oklahoma,Bryan County",450
"Illinois,Madison County",3400
"Virginia,Scott County",97
"Georgia,Spalding County",3493
"Alabama,Shelby County",1141
"Illinois,Hamilton County",29
"Vermont,Caledonia County",479
"Iowa,Decatur County",6759
"Pennsylvania,Carbon County",23875
"South Carolina,Chester County",1368
"Pennsylvania,Northampton County",5111
"Idaho,Latah County",231
"Alabama,Jackson County",42120
"Mississippi,Oktibbeha County",4650
"Missouri,St Charles County",1493
"Arkansas,Bradley County",6802
"Utah,Weber County",643
"Florida,Seminole County",14875
"Oklahoma,Logan County",338
"North Carolina,Guilford County",29246
"Arkansas,Ouachita County",330
"Texas,Smith County",4747
"Illinois,Franklin County",342
"Alabama,Randolph County",2137
"Montana,Lewis and Clark County",251
"Indiana,Vanderburgh County",6465
"Georgia,Newton County",2958
"Washington,Kitsap County",1377
"California,Lassen County",1368
"California,Riverside County",70565
"Arkansas,Union County",2985
"Tennessee,Jefferson County",185
"Florida,Hamilton County",509
"Oklahoma,Muskogee County",916
"Utah,Millard County",631
"New Jersey,Mercer County",17077
"Massachusetts,Worcester County",36155
"Ohio,Wayne County",863
"Florida,Santa Rosa County",1416
"Georgia,Henry County",6286
"Virginia,York County",3523
"Illinois,Grundy County",1006
"California,Los Angeles County",963452
"Florida,Hillsborough County",67185
"Illinois,McDonough County",1058
"Idaho,Power County",1376
"South Carolina,Newberry County",693
"Ohio,Lorain County",7957
"Michigan,Ottawa County",3527
"New York,Delaware County",1212
"Nevada,Lincoln",17
"Arizona,Santa Cruz County",3037
"Iowa,Crawford County",27485
"Pennsylvania,Clinton County",709
"Texas,Bastrop County",1100
"Texas,Montague County",23
"Oklahoma,Oklahoma County",37363
"Alabama,Tuscaloosa County",13015
"Oregon,Benton County",1383
"Texas,Brazoria County",3302
"North Carolina,Union County",3288
"Alabama,Cleburne County",256
"Illinois,Alexander County",331
"Utah,Iron County",309
"Arkansas,Izard County",6524
"New Jersey,Cumberland County",5362
"Missouri,St Louis City",79336
"Missouri,Moniteau County",883
"Rhode Island,Newport County",2606
"Virginia,Suffolk City",12207
"Michigan,Dickinson County",58
"California,Sonoma County",9891
"Ohio,Medina County",2273
"Kansas,Crawford County",691
"Missouri,Adair County",152
"Texas,Uvalde County",12475
"Illinois,Knox County",307
"Iowa,Sioux County",158
"Washington,King County",90457
"Indiana,Hendricks County",4792
"Florida,Lee County",11070
"South Dakota,Minnehaha County",4248
"Louisiana,Terrebonne Parish",4090
"California,San Diego County",135933
"Illinois,Jackson County",7149
"Oregon,Yamhill County",491
"Georgia,Elbert County",1170
"Iowa,Bremer County",331
"Illinois,Morgan County",782
"Texas,Angelina County",3329
"California,Fresno County",38020
"Pennsylvania,York County",8648
"Virginia,Alexandria City",10441
"Washington,Island County",870
"Ohio,Geauga County",225
"Indiana,Washington County",1766
"Georgia,Lincoln County",656
"Florida,Pasco County",1583
"Mississippi,Neshoba County",316
"Wyoming,Laramie County",1864
"Kentucky,Perry County",616
"Michigan,Livingston County",944
"Arkansas,Prairie County",12
"Maryland,Cecil County",2046
"Alabama,Bibb County",1192
"Georgia,Crisp County",1840
"Alabama,Mobile County",19299
"Illinois,Kane County",7054
"Arkansas,Monroe County",1989
"Alabama,Dale County",291
"Kentucky,Daviess County",1527
"Kentucky,Clark County",674
"Georgia,Bartow County",2115
"Kentucky,Scott County",576
"Alabama,Greene County",3461
"Kansas,Phillips County",879
"Arizona,Pinal County",2150
"Texas,Tom Green County",3558
"Georgia,Lee County",668
"Oregon,Jackson County",1822
"South Carolina,Williamsburg County",4849
"Georgia,Brantley County",2146
"Illinois,Jefferson County",7915
"Arkansas,Greene County",770
"Virginia,Staunton City",779
"Pennsylvania,Columbia County",2903
"Nevada,Elko County",1113
"South Carolina,Pickens County",2995
"New York,Ontario County",1561
"Texas,Polk County",21
"Oregon,Lane County",5079
"Michigan,Kalamazoo County",8410
"Kentucky,McLean County",204
"Michigan,Monroe County",1166
"Georgia,Wilkinson County",893
"Michigan,Menominee County",1197
"Alabama,Lamar County",585
"Illinois,Brown County",4573
"Tennessee,Henderson County",269
"New York,Nassau County",5874
"Oklahoma,Custer County",798
"Georgia,Lumpkin County",295
"Michigan,Sanilac County",520
"Minnesota,Carver County",519
"Texas,Harrison County",1536
"Mississippi,Bolivar County",2163
"Texas,Val Verde County",475
"Wisconsin,Walworth County",672
"New York,Otsego County",254
"South Dakota,Brown County",427
"Virginia,Richmond City",32559
"Alabama,Butler County",2914
"Minnesota,Houston County",3762
"Idaho,Bonneville County",263
"Georgia,Troup County",1927
"Oklahoma,Lincoln County",1145
"South Dakota,Brookings County",511
"Illinois,Montgomery County",4350
"Alabama,Crenshaw County",383
"Florida,Clay County",3606
"Indiana,Porter County",1654
"Nebraska,Dodge County",424
"Kansas,Marion County",320
"Texas,Montgomery County",6306
"South Carolina,Clarendon County",839
"Ohio,Greene County",1804
"Indiana,Marion County",58836
"Kentucky,Pike County",1239
"Texas,Fort Bend County",12323
"Wyoming,Campbell County",529
"Michigan,Isabella County",1852
"Illinois,McLean County",2549
"Missouri,Nodaway County",1418
"South Dakota,Lincoln County",3559
"Wisconsin,Outagamie County",1473
"Missouri,Lincoln County",990
"Nebraska,Saline County",846
"Illinois,Peoria County",2878
"North Carolina,Harnett County",1795
"Massachusetts,Berkshire County",7093
"Alabama,Calhoun County",20844
"Alabama,Chambers County",4050
"Kansas,McPherson County",339
"New Hampshire,Cheshire County",560
"Illinois,Boone County",512
"Ohio,Ashtabula County",10514
"Indiana,St. Joseph County",341
"New Jersey,Passaic County",17688
"New York,Westchester County",19208
"Alabama,Limestone County",1586
"California,Stanislaus County",13260
"Ohio,Gallia County",578
"Illinois,Jo Daviess County",555
"Washington,Franklin County",1173
"Louisiana,Iberia Parish",624
"Georgia,Grady County",370
"Michigan,Montcalm County",513
"Oregon,Jefferson County",101
"Missouri,Morgan County",1561
"New York,Chemung County",2307
"Texas,Bexar County",141088
"Mississippi,Alcorn County",586
"South Carolina,Greenville County",14617
"Iowa,Woodbury County",14336
"Mississippi,Webster County",250
"Alabama,Dekalb County",1637
"Alabama,Houston County",9693
"Pennsylvania,Venango County",515
"Iowa,Pottawattamie County",849
"New York,Chautauqua County",3489
"Texas,McLennan County",11616
"Indiana,Grant County",731
"Ohio,Pickaway County",338
"North Carolina,Burke County",501
"Kentucky,Boyd County",760
"West Virginia,Clay County",1598
"Georgia,Chattooga County",400
"South Carolina,Cherokee County",1800
"Missouri,Dallas County",334
"Missouri,Jefferson County",1487
"Alabama,Wilcox County",6641
"Ohio,Warren County",1672
"Ohio,Wood County",2282
"South Dakota,Davison County",160
"Texas,Webb County",6430
